,Unnamed: 0,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types,FinalInclusion
311,307,SUMMERSET GROUP HOLDINGS LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SUMMERSET GROUP HOLDINGS LIMITED,2024-12-31,,Submitted,FY24/25,Sustainability Review and Climate-related Disclosures FY24.pdf,1,0,Retirement Village,Normal companies,1.0
312,308,SUMMERSET GROUP HOLDINGS LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,SUMMERSET GROUP HOLDINGS LIMITED,2023-12-31,1.0,Submitted,FY23/24,Sustainability Review & Climate Related Disclosures - FY23.pdf,1,0,Retirement Village,Normal companies,1.0
315,310,SWISS RE LIFE & HEALTH AUSTRALIA LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SWISS RE LIFE & HEALTH AUSTRALIA LIMITED,2024-12-31,,Submitted,FY24/25,Swiss Re NZ CRD redport 2024_SIGNED.pdf,2,0,Finance - Insurance,Normal companies,1.0
316,311,SWISS RE LIFE & HEALTH AUSTRALIA LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,SWISS RE LIFE & HEALTH AUSTRALIA LIMITED,2023-12-31,1.0,Submitted,FY23/24,SRLHA NZ CRD Statement_signed.pdf,1,0,Finance - Insurance,Normal companies,1.0
319,313,SYNLAIT MILK LIMITED,31-07-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,SYNLAIT MILK LIMITED,2024-07-31,,Submitted,FY24/25,Synlait_Integrated Climate Report FY24_201224_Digital v2.pdf,1,0,Agriculture,Normal companies,1.0
320,315,T&G GLOBAL LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,T&G GLOBAL LIMITED,2024-12-31,,Submitted,FY24/25,TG_CRD_31Dec24.pdf,1,0,Agriculture,Normal companies,1.0
321,316,T&G GLOBAL LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,T&G GLOBAL LIMITED,2023-12-31,,Submitted,FY23/24,TGG_ClimateRelatedDisclosure.pdf,1,0,Agriculture,Normal companies,1.0
324,321,THE A2 MILK COMPANY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,THE A2 MILK COMPANY LIMITED,2025-06-30,,Submitted,FY24/25,a2 Milk Company 2025 Climate Statement.pdf,1,0,Agriculture,Normal companies,1.0
325,322,THE A2 MILK COMPANY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,THE A2 MILK COMPANY LIMITED,2024-06-30,,Submitted,FY23/24,a2 Milk Company Climate Statement FY24.pdf,1,0,Agriculture,Normal companies,1.0
326,323,THE BANKERS INVESTMENT TRUST PLC,31-10-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,THE BANKERS INVESTMENT TRUST PLC,2024-10-31,,Submitted,FY24/25,NZ Climate letter 2024 AR.pdf,1,0,Finance - Banks,Normal companies,1.0
328,325,THE COLONIAL MOTOR COMPANY LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,THE COLONIAL MOTOR COMPANY LIMITED,2024-06-30,,Submitted,FY23/24,Climate Statement June 2024.pdf,1,0,Other industries,Normal companies,1.0
330,326,THE COLONIAL MOTOR COMPANY LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,THE COLONIAL MOTOR COMPANY LIMITED,2025-06-30,,Submitted,FY24/25,CMC Climate Statement FY25 FINAL.pdf,2,0,Other industries,Normal companies,1.0
331,327,THE CO-OPERATIVE BANK LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,THE CO-OPERATIVE BANK LIMITED,2024-03-31,,Submitted,FY23/24,the-co-operative-bank_climate-report-2024-signed.pdf,1,0,Finance - Banks,Normal companies,1.0
332,329,THE CO-OPERATIVE BANK LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,THE CO-OPERATIVE BANK LIMITED,2025-03-31,,Submitted,FY24/25,The Co-operative Climate Report 2025 - Final.pdf,1,0,Finance - Banks,Normal companies,1.0
333,330,THE HOLLARD INSURANCE COMPANY PTY LTD,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,THE HOLLARD INSURANCE COMPANY PTY LTD,2024-06-30,,Submitted,FY23/24,Hollard_NZ Climate statement.pdf,1,0,Finance - Insurance,Normal companies,1.0
334,331,THE HOLLARD INSURANCE COMPANY PTY LTD,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,THE HOLLARD INSURANCE COMPANY PTY LTD,2025-06-30,,Submitted,FY24/25,HNZ CRD Climate Statement.pdf,1,0,Finance - Insurance,Normal companies,1.0
336,333,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,2023-12-31,1.0,Submitted,FY23/24,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,2,0,Finance - Banks,Normal companies,1.0
340,336,THE WAREHOUSE GROUP LIMITED,31-07-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,THE WAREHOUSE GROUP LIMITED,2024-07-31,,Submitted,FY24/25,5. WHS FY24 Climate-related Disclosures Report.pdf,1,0,Other industries,Normal companies,1.0
341,337,TOURISM HOLDINGS LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,TOURISM HOLDINGS LIMITED,2024-06-30,,Submitted,FY23/24,thl FY24 Climate Statements.pdf,1,0,Other industries,Normal companies,1.0
342,338,TOURISM HOLDINGS LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,TOURISM HOLDINGS LIMITED,2025-06-30,,Submitted,FY24/25,FY25 Climate Statements.pdf,1,0,Other industries,Normal companies,1.0
343,339,TOWER LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,TOWER LIMITED,2024-09-30,,Submitted,FY24/25,Tower Limited Climate Statement.pdf,1,0,Finance - Insurance,Normal companies,1.0
346,342,TRANSPOWER NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,TRANSPOWER NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,Transpower Climate Statement 2024 FINAL.pdf,1,0,Energy,Normal companies,1.0
348,343,TRANSPOWER NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,TRANSPOWER NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,TP Climate Statement 2025 FINAL.pdf,2,0,Energy,Normal companies,1.0
349,344,TSB BANK LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,TSB BANK LIMITED,2024-03-31,,Submitted,FY23/24,TSB Climate Statement FY24.pdf,1,0,Finance - Banks,Normal companies,1.0
350,346,TSB BANK LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,TSB BANK LIMITED,2025-03-31,,Submitted,FY24/25,TSB Climate Statement 2025.pdf,1,0,Finance - Banks,Normal companies,1.0
351,347,TURNERS AUTOMOTIVE GROUP LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,TURNERS AUTOMOTIVE GROUP LIMITED,2024-03-31,1.0,Submitted,FY23/24,Turners 2024 Climate Related Disclosure.pdf,1,0,Other industries,Normal companies,1.0
353,349,TURNERS AUTOMOTIVE GROUP LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,TURNERS AUTOMOTIVE GROUP LIMITED,2025-03-31,,Submitted,FY24/25,Turners 2025 Climate-related Disclosures.pdf,2,0,Other industries,Normal companies,1.0
354,350,VECTOR LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,VECTOR LIMITED,2024-06-30,,Submitted,FY23/24,6 Vector FY24 Climate-related disclosures.pdf,1,0,Infrastructure,Normal companies,1.0
355,351,VECTOR LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,VECTOR LIMITED,2025-06-30,,Submitted,FY24/25,Vector's Climate-Related Disclosures 2025.pdf,2,0,Infrastructure,Normal companies,1.0
361,352,VENTIA SERVICES GROUP LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,VENTIA SERVICES GROUP LIMITED,2024-12-31,,Submitted,FY24/25,Ventia 2024 Annual Report - NZ Companies Office lodgement.pdf,5,0,Infrastructure,Normal companies,1.0
362,353,VENTIA SERVICES GROUP LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,VENTIA SERVICES GROUP LIMITED,2023-12-31,1.0,Submitted,FY23/24,Ventia - 2023 Sustainability Report.pdf,1,0,Infrastructure,Normal companies,1.0
363,355,VERO INSURANCE NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,VERO INSURANCE NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,Vero Insurance New Zealand Limited FY24 Climate Related Disclosure - October 2024.pdf,1,0,Finance - Insurance,Normal companies,1.0
364,356,VERO INSURANCE NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,VERO INSURANCE NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,SUN001 Vero Insurance-CRD-v23HR_Signed.pdf,1,0,Finance - Insurance,Normal companies,1.0
365,357,VISTA GROUP INTERNATIONAL LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,VISTA GROUP INTERNATIONAL LIMITED,2023-12-31,1.0,Submitted,FY23/24,Vista Group 2023 Group Climate Statement.pdf,1,0,Other industries,Normal companies,1.0
366,358,VISTA GROUP INTERNATIONAL LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,VISTA GROUP INTERNATIONAL LIMITED,2024-12-31,,Submitted,FY24/25,Vista Group 2024 Group Climate Statement.pdf,1,0,Other industries,Normal companies,1.0
367,360,VULCAN STEEL LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,VULCAN STEEL LIMITED,2024-06-30,,Submitted,FY23/24,VSL - FY24 Annual Report FINAL.pdf,1,0,Other industries,Normal companies,1.0
368,361,VULCAN STEEL LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,VULCAN STEEL LIMITED,2025-06-30,,Submitted,FY24/25,VSL - FY25Annual Report Combined v14.pdf,1,0,Other industries,Normal companies,1.0
369,362,WELLINGTON INTERNATIONAL AIRPORT LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,WELLINGTON INTERNATIONAL AIRPORT LIMITED,2024-03-31,,Submitted,FY23/24,Wellington Airport Climate Related Disclosures FY24.pdf,1,0,Airport,Normal companies,1.0
370,363,WELLINGTON INTERNATIONAL AIRPORT LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,WELLINGTON INTERNATIONAL AIRPORT LIMITED,2025-03-31,,Submitted,FY24/25,Wellington Airport Climate Related Disclosures.pdf,2,0,Airport,Normal companies,1.0
382,368,WESTPAC NEW ZEALAND LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,WESTPAC NEW ZEALAND LIMITED,2024-09-30,,Submitted,FY24/25,WNZL Climate Report 2024.pdf,1,0,Finance - Banks,Normal companies,1.0
385,371,WINTON LAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,WINTON LAND LIMITED,2024-06-30,,Submitted,FY23/24,WL0007 Winton 2024 Climate-Related Disclosures_INTERACTIVE_FINAL ART.pdf,1,0,Real Estates,Normal companies,1.0
386,372,WINTON LAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,WINTON LAND LIMITED,2025-06-30,,Submitted,FY24/25,WL0010 Winton 2025 Climate-Related Disclosures_INTERACTIVE_FINAL ART_web.pdf,2,0,Real Estates,Normal companies,1.0
388,373,WORKS FINANCE (NZ) LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,WORKS FINANCE (NZ) LIMITED,2024-06-30,,Submitted,FY23/24,Works Finance (NZ) Ltd - FY24 climate reporting.pdf,1,0,Finance - Other,Normal companies,1.0
389,374,WORKS FINANCE (NZ) LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,WORKS FINANCE (NZ) LIMITED,2025-06-30,,Submitted,FY24/25,Works Finance (NZ) Ltd - FY25 climate reporting.pdf,1,0,Finance - Other,Normal companies,1.0
390,376,Z ENERGY LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,Z ENERGY LIMITED,2023-12-31,1.0,Submitted,FY23/24,Z Climate Statements 2023 - FINAL.pdf,1,0,Energy,Normal companies,1.0
